"Individuo","IEP","OP","SC","EdP","ÉpP","AP","DA"
"2200",444,"1","Macho",1092,"Sequía","2005",160
"2200",351,"2","Macho",1536,"Transición","2006",67
"2200",344,"3","Macho",1887,"Transición","2007",60
"2200",484,"4","Macho",2231,"Transición","2008",200
"2200",472,"5","Hembra",2715,"Lluvia","2009",188
"2202",450,"1","Hembra",1081,"Sequía","2005",166
"2202",336,"2","Hembra",1531,"Transición","2006",52
"2202",426,"4","Macho",2488,"Sequía","2009",142
"2206",459,"1","Macho",1077,"Sequía","2005",175
"2210",452,"1","Hembra",1090,"Sequía","2005",168
"2214",437,"1","Hembra",1102,"Sequía","2005",153
"2214",349,"3","Hembra",1865,"Transición","2007",65
"2216",361,"1","Macho",1126,"Transición","2005",77
"2216",358,"2","Hembra",1487,"Transición","2006",74
"2216",354,"3","Macho",1845,"Transición","2007",70
"2216",352,"4","Hembra",2199,"Sequía","2008",68
"2216",350,"5","Hembra",2551,"Sequía","2009",66
"2216",399,"7","Macho",3677,"Transición","2012",115
"2216",405,"8","Macho",4076,"Transición","2013",121
"2216",351,"10","Macho",5092,"Sequía","2016",67
"2228",422,"1","Hembra",1084,"Sequía","2005",138
"2228",339,"2","Hembra",1506,"Transición","2006",55
"2228",347,"3","Hembra",1845,"Transición","2007",63
"2238",384,"1","Macho",1105,"Sequía","2005",100
"2238",351,"2","Macho",1489,"Transición","2006",67
"2238",361,"3","Hembra",1840,"Transición","2007",77
"2238",348,"4","Macho",2201,"Sequía","2008",64
"2238",376,"6","Hembra",3270,"Sequía","2011",92
"2238",393,"8","Macho",4808,"Transición","2015",109
"2238",445,"9","Hembra",5201,"Transición","2016",161
"2260",327,"1","Macho",1529,"Transición","2006",43
"2260",426,"2","Macho",1856,"Transición","2007",142
"2260",316,"4","Macho",2565,"Transición","2009",32
"2260",368,"5","Macho",2881,"Sequía","2010",84
"2260",395,"6","Macho",3249,"Sequía","2011",111
"2260",408,"7","Hembra",3644,"Sequía","2012",124
"2260",365,"8","Hembra",4052,"Transición","2013",81
"2264",355,"1","Macho",1112,"Transición","2005",71
"2264",368,"2","Macho",1467,"Transición","2006",84
"2264",354,"3","Hembra",1835,"Transición","2007",70
"2264",344,"4","Macho",2189,"Transición","2008",60
"2264",531,"6","Macho",3102,"Transición","2010",247
"2264",339,"7","Macho",3633,"Sequía","2012",55
"2270",458,"1","Macho",1053,"Sequía","2005",174
"2270",445,"2","Hembra",1511,"Transición","2006",161
"2270",330,"3","Macho",1956,"Lluvia","2007",46
"2284",394,"1","Macho",1108,"Transición","2005",110
"2284",334,"2","Macho",1502,"Transición","2006",50
"2284",338,"4","Hembra",2518,"Sequía","2009",54
"2284",391,"5","Hembra",2856,"Sequía","2010",107
"2284",381,"6","Macho",3247,"Sequía","2011",97
"2284",371,"7","Macho",3628,"Sequía","2012",87
"2284",391,"10","Hembra",4705,"Sequía","2015",107
"2284",421,"11","Macho",5096,"Sequía","2016",137
"234",335,"1","Macho",1012,"Sequía","2003",51
"234",403,"2","Macho",1347,"Sequía","2004",119
"3026",398,"1","Macho",1104,"Sequía","2006",114
"3030",499,"1","Hembra",1091,"Sequía","2006",215
"3030",324,"2","Macho",1590,"Transición","2007",40
"3030",346,"3","Hembra",1914,"Transición","2008",62
"3030",418,"8","Hembra",4803,"Transición","2016",134
"3036",359,"1","Hembra",1196,"Transición","2006",75
"3046",343,"1","Macho",1226,"Lluvia","2006",59
"3064",404,"1","Hembra",1088,"Sequía","2006",120
"3064",381,"2","Hembra",1492,"Sequía","2007",97
"3082",431,"1","Hembra",1116,"Sequía","2006",147
"3086",393,"1","Hembra",1100,"Sequía","2006",109
"3098",379,"1","Hembra",802,"Transición","2005",95
"3098",343,"2","Hembra",1181,"Transición","2006",59
"3104",377,"1","Hembra",1092,"Sequía","2006",93
"3104",385,"2","Hembra",1469,"Sequía","2007",101
"3110",441,"1","Macho",1093,"Sequía","2006",157
"3190",419,"1","Hembra",1067,"Sequía","2006",135
"3190",356,"2","Hembra",1486,"Transición","2007",72
"3250",351,"1","Macho",1166,"Transición","2006",67
"3256",481,"1","Macho",1492,"Transición","2007",197
"3272",434,"1","Hembra",1039,"Sequía","2006",150
"3272",340,"2","Hembra",1473,"Transición","2007",56
"3272",354,"3","Hembra",1813,"Sequía","2008",70
"3272",334,"4","Hembra",2167,"Sequía","2009",50
"3278",410,"1","Macho",1046,"Sequía","2006",126
"4022",348,"2","Hembra",1521,"Transición","2008",64
"4024",457,"2","Macho",1781,"Sequía","2009",173
"4026",383,"2","Macho",1836,"Sequía","2009",99
"4028",360,"1","Macho",1191,"Transición","2007",76
"4028",328,"2","Hembra",1551,"Transición","2008",44
"4028",351,"3","Macho",1879,"Transición","2009",67
"4028",352,"4","Hembra",2230,"Sequía","2010",68
"4028",370,"6","Hembra",3389,"Transición","2013",86
"4030",359,"2","Macho",1841,"Sequía","2009",75
"4030",456,"3","Hembra",2200,"Sequía","2010",172
"4032",362,"2","Hembra",1837,"Sequía","2009",78
"4032",361,"3","Macho",2199,"Sequía","2010",77
"4032",484,"4","Hembra",2560,"Sequía","2011",200
"4038",383,"1","Hembra",1138,"Transición","2007",99
"4038",323,"2","Macho",1521,"Transición","2008",39
"4038",355,"5","Macho",2949,"Sequía","2012",71
"4038",390,"7","Hembra",4160,"Lluvia","2015",106
"4038",488,"8","Macho",4550,"Lluvia","2016",204
"4040",377,"1","Hembra",1140,"Transición","2007",93
"4040",364,"2","Macho",1517,"Transición","2008",80
"4040",340,"3","Hembra",1881,"Transición","2009",56
"4040",376,"4","Hembra",2221,"Sequía","2010",92
"4040",403,"5","Macho",2597,"Transición","2011",119
"4040",382,"6","Macho",3000,"Transición","2012",98
"4040",376,"7","Macho",3382,"Transición","2013",92
"4042",389,"2","Macho",1858,"Sequía","2009",105
"4042",385,"3","Hembra",2247,"Transición","2010",101
"4042",404,"4","Hembra",2632,"Transición","2011",120
"4042",338,"7","Hembra",4148,"Lluvia","2015",54
"4042",352,"8","Hembra",4486,"Transición","2016",68
"4044",357,"2","Hembra",1913,"Transición","2009",73
"4052",347,"1","Hembra",1134,"Transición","2007",63
"4052",362,"2","Macho",1481,"Sequía","2008",78
"4052",382,"3","Hembra",1843,"Sequía","2009",98
"4052",343,"4","Macho",2225,"Sequía","2010",59
"4080",408,"1","Macho",1165,"Transición","2007",124
"4084",358,"2","Hembra",1825,"Sequía","2009",74
"4098",354,"2","Hembra",1830,"Sequía","2009",70
"4098",349,"4","Macho",2941,"Sequía","2012",65
"4104",478,"2","Hembra",1727,"Transición","2008",194
"4106",346,"1","Hembra",1138,"Transición","2007",62
"4106",373,"2","Hembra",1484,"Sequía","2008",89
"4106",369,"3","Hembra",1857,"Transición","2009",85
"4106",335,"4","Hembra",2226,"Transición","2010",51
"4106",403,"5","Macho",2561,"Sequía","2011",119
"4106",413,"6","Hembra",2964,"Transición","2012",129
"4106",381,"9","Hembra",4469,"Transición","2016",97
"4118",374,"1","Macho",1878,"Transición","2009",90
"4120",367,"1","Macho",1478,"Sequía","2008",83
"4120",370,"2","Hembra",1845,"Sequía","2009",86
"4120",382,"4","Macho",2779,"Transición","2011",98
"4120",457,"5","Macho",3161,"Transición","2012",173
"4124",386,"2","Hembra",2163,"Sequía","2010",102
"4128",454,"1","Macho",1485,"Sequía","2008",170
"4132",374,"1","Macho",1152,"Transición","2007",90
"4132",388,"3","Hembra",1829,"Sequía","2009",104
"4132",350,"4","Hembra",2217,"Sequía","2010",66
"4140",349,"1","Macho",1188,"Transición","2007",65
"4140",337,"2","Hembra",1537,"Transición","2008",53
"4140",343,"3","Hembra",1874,"Transición","2009",59
"4140",362,"5","Hembra",2764,"Lluvia","2011",78
"4186",350,"1","Macho",1115,"Sequía","2007",66
"4186",337,"2","Hembra",1465,"Sequía","2008",53
"4186",412,"3","Hembra",1802,"Sequía","2009",128
"4186",344,"4","Macho",2214,"Transición","2010",60
"4188",346,"1","Macho",1171,"Transición","2007",62
"4188",339,"2","Hembra",1517,"Transición","2008",55
"4190",375,"2","Hembra",1833,"Sequía","2009",91
"4208",341,"2","Hembra",1526,"Transición","2008",57
"4208",505,"4","Macho",2457,"Transición","2010",221
"4208",374,"5","Hembra",2962,"Transición","2012",90
"4208",526,"7","Macho",3952,"Sequía","2015",242
"4240",365,"1","Hembra",1098,"Sequía","2007",81
"4240",394,"2","Hembra",1463,"Sequía","2008",110
"4240",459,"4","Hembra",2543,"Sequía","2011",175
"4248",427,"1","Hembra",1755,"Sequía","2009",143
"4248",376,"2","Hembra",2182,"Sequía","2010",92
"4248",444,"3","Hembra",2558,"Sequía","2011",160
"4248",499,"6","Hembra",4361,"Sequía","2016",215
"4264",344,"2","Macho",1825,"Transición","2009",60
"48",446,"1","Macho",1126,"Sequía","2003",162
"48",327,"2","Macho",1572,"Transición","2004",43
"48",363,"3","Macho",1899,"Transición","2005",79
"48",346,"5","Hembra",3026,"Transición","2008",62
"5018",390,"1","Macho",932,"Lluvia","2007",106
"5018",494,"2","Hembra",1322,"Transición","2008",210
"5028",420,"1","Hembra",937,"Lluvia","2007",136
"5028",465,"2","Macho",1357,"Transición","2008",181
"5028",384,"3","Macho",1822,"Sequía","2010",100
"5028",309,"6","Macho",3576,"Transición","2014",25
"5028",482,"7","Hembra",3885,"Transición","2015",198
"5034",357,"2","Macho",1470,"Sequía","2009",73
"5034",506,"4","Macho",2426,"Transición","2011",222
"5038",518,"1","Macho",1293,"Lluvia","2008",234
"5048",414,"1","Hembra",927,"Lluvia","2007",130
"5048",496,"2","Macho",1341,"Transición","2008",212
"5048",366,"3","Hembra",1837,"Sequía","2010",82
"5048",407,"4","Hembra",2203,"Sequía","2011",123
"5048",404,"5","Macho",2610,"Transición","2012",120
"5048",469,"7","Hembra",3574,"Transición","2014",185
"5048",361,"8","Hembra",4043,"Sequía","2016",77
"5060",361,"1","Hembra",928,"Lluvia","2007",77
"5060",533,"2","Macho",1289,"Lluvia","2008",249
"5062",457,"1","Hembra",955,"Transición","2007",173
"5062",443,"2","Hembra",1412,"Sequía","2009",159
"5062",421,"4","Hembra",3297,"Sequía","2014",137
"5068",430,"3","Hembra",2515,"Sequía","2012",146
"5076",357,"2","Hembra",1460,"Sequía","2009",73
"5076",359,"4","Hembra",2615,"Transición","2012",75
